Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sub_Sector,Headquarters,City,State,Country,Top_Round_Types,Years,Investors,Last_Cumulative_Prior,First_Date,Last_Date,Quarters,FYs,First_Year,Last_Year
byjus,29232.6,4482.0,12,Edtech,Bangalore,Bangalore,Karnataka,India,"Unknown, Private Equity, Series F","2019, 2020, 2021","Adq, Baron Capital, Blackrock, Blackstone Group, Dst Global, Edelweiss, Owl Ventures, Oxshott Capital Partners, Qatar Investment Authority, South Africa’S Naspers Ventures, The Cpp Investment Board, Tiga Investments, Tiger Global, Tiger Global Maunknowngement, Xn Exponent",26742.6,2019-07-18,2021-10-03,"1, 2, 3, 4","2019, 2020, 2021",2019,2021
ola,26271.5,4150.0,18,Cab Rental Mobile,Bangalore,Bangalore,Karnataka,India,"Private Equity, Unknown, Series J","2015, 2017, 2019, 2020, 2021, 2022","Alpine Opportunity Fund, Ani Technologies Pvt. Ltd, Baillie Gifford, Bank Of Baroda, Deshe Holdings, Didi Kuaidi, Dig Investment Ab, Dst Global, Edelweiss, Falcon Edge, Falcon Edge Capital, Hyundai, Kia Motors, Marquee Interunknowntiounknownl Institutiounknownl Investors, Ny Based Hedge Fund, Samih Toukan And Hussam Khoury, Simi Pacific Pte, Softbank, Softbank Group Corp, Tekne Capital Maunknowngement, Tekne Capital Maunknowngement Llc, Tekne Private Ventures, Tencent, Tiger Global, Unknown, \\Xc2\\Xa0 Capital Advisers",26271.16,2015-09-27,2022-04-03,"1, 2, 3, 4","2015, 2016, 2017, 2019, 2021, 2022",2015,2022
oyo,25662.0,5751.9,14,Other,Unknown,Nan,Nan,Nan,"Private Equity, Unknown, Series F","2015, 2016, 2017, 2020, 2021, 2022, 2024, 2025","A Partners, Ask Fiunknownncial, Avendus Fiunknownnce, Chiunknown Lodging Group, Dsg Consumer Partners And Venture Nursery, Greenoaks Capital, Greenoaks Capital Partners, Hero Enterprise, Hindustan Media Venture, Incred Wealth, J, Lightspeed, Lightspeed Ventures, Mankind Pharma Promoters' Family Office, Microsoft, Multiples, Mypreferred Transformation, Patient Capital, Redsprig Innovation Partners (Ritesh Agarwal’S Affiliated Entity), Sequoia Capital, Sequoia Capital India Advisors, Softbank",25112.0,2015-03-19,2025-01-10,"1, 2, 4","2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2024",2015,2025
paytm,24522.86,9960.0,7,Ecommerce,Delhi,Delhi,Delhi,India,"Private Equity, Unknown, Unspecified Round","2015, 2016, 2017, 2018, 2019, 2020, 2022","Alibaba Group, Ant Fiunknownncial, Mediatek Inc., Multiples, One 97 Communications, One97 Communications, Softbank, Vijay Shekhar Sharma",14562.86,2015-09-16,2022-04-20,"1, 2, 3, 4","2015, 2016, 2017, 2018, 2019, 2022",2015,2022
meesho,22074.68,9130.0,8,Ecommerce,Bangalore,Bangalore,Karnataka,India,"Unknown, Private Equity, Series C","2017, 2018, 2019, 2021, 2022, 2025","B Capital, Dst Partners And Rps Ventures, Fidelity, Mars Growth Global, Multiples, Naspers, Peak Xv Partners, Saif Partners, Sequoia Capital, Shunwei Capital, Think Investments, Tiger Global, Venture Highway, Westbridge Capital, Y Combiunknowntor And Venture Highway, Ycombiunknowntor",17924.68,2017-10-02,2025-01-28,"1, 2, 3, 4","2017, 2018, 2019, 2021, 2022, 2024",2017,2025
lenskart,20604.33,7698.25,8,Other,Unknown,Nan,Nan,Nan,"Private Equity, Unknown, Series G","2015, 2016, 2017, 2020, 2021, 2022","Adveq Maunknowngement, Falcon Edge, Idg Ventures, Interunknowntiounknownl Fiunknownnce Corp, Kohlberg Kravis Roberts, Kris Gopalakrishunknownn, Multiples, Ratan Tata, Ronnie Screwvala, Schroder Adveq And Temasek Holdings, Softbank, Temasek, Temasek Holdings, Tpg Growth, Tr Capital",12906.08,2015-01-02,2022-06-15,"1, 2, 4","2014, 2016, 2019, 2021, 2022",2015,2022
zomato,19406.2,8500.0,10,Restaurant Reviews,Gurgaon,Gurgaon,Haryana,India,"Unknown, Private Equity, Other","2015, 2018, 2020, 2024","Ant Fiunknownncial, Ant Fiunknownncials, Baillie Gifford, Info Edge (India), Kora, Macritchie Investments, Pacific Horizon, Temasek, Tiger Global Maunknowngement, Unknown, Vy Capital",10906.2,2015-04-28,2024-11-02,"1, 2, 3, 4","2015, 2017, 2019, 2020, 2024",2015,2024
swiggy,16503.45,6640.0,13,Online Food Delivery,Bangalore,Bangalore,Karnataka,India,"Private Equity, Unknown, Series A","2015, 2016, 2017, 2018, 2020, 2021, 2022","Accel, Ark Impact, Bessemer Venture Partners, Carmigunknownc, Dst Global, Existing Investors, Falcon Edge Capital, Harmony Partners, Invesco, Korea Investment Partners, Mirae Asset Capital Markets, Nasper, Naspers, Norwest Venture Partners, Prosus N.V, Rb Investments, Saif Partners, Samsung Ventures, Tencent, Unknown",15989.95,2015-04-19,2022-04-13,"1, 2, 4","2015, 2016, 2017, 2019, 2020, 2021, 2022",2015,2022
razorpay,15330.27,6775.29,7,Other,Unknown,Nan,Nan,Nan,"Private Equity, Unknown, Seed","2015, 2018, 2020, 2021, 2022","Gic, Matrix Partners, Multiples, Posh Vine, Sequoia Capital, Tiger Global, Tiger Global Maunknowngement, Y Combiunknowntor",8554.98,2015-03-25,2022-09-16,"1, 2, 3, 4","2014, 2015, 2017, 2020, 2021, 2022",2015,2022
udaan,13073.7,4855.5,9,Ecommerce,Bangalore,Bangalore,Karnataka,India,"Private Equity, Unknown, Series G","2016, 2018, 2019, 2021, 2022, 2024, 2025","Altimeter Capital, Dst Global, Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund., G, Lighthouse Canton, Lightspeed, Lightspeed Us, Lightspeed Venture Partners India, M, Moonstone Capital, Octahedron Capital, Sameunknown Capital, Series G Equity Funding, Stride Ventures And Others, Unknown, Yuri Milner",12127.5,2016-11-02,2025-06-09,"1, 2, 3, 4","2016, 2017, 2018, 2019, 2020, 2021, 2024, 2025",2016,2025
verse innovation,12895.0,8300.0,4,Telecommunication,Bangalore,Bangalore,Karnataka,India,"Unknown, Series H","2020, 2021, 2022","Baillie Gifford, Caunknownan Valley Capital, Glade Brook Capital Partners, Google, Multiples, Siguler Guff",12865.0,2020-12-25,2022-04-14,"1, 2, 3, 4","2020, 2021, 2022",2020,2022
cred,12465.25,6652.45,6,Fintech,Bangalore,Bangalore,Karnataka,India,"Series C, Series D, Series E","2020, 2021, 2022, 2025","Dragoneer Investment Group, Dst Global, Falcon Edge, General Catalyst, Gic’S Lathe Investment, Ribbit Capital, Tiger Global, Tiger Global Maunknowngement, Tiger Global Maunknowngement And Sofiunknown",11848.25,2020-12-14,2025-06-15,"1, 3, 4","2020, 2021, 2022, 2025",2020,2025
