Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
byjus,29232.6,4482.0,12,Edtech,Bangalore,"Private Equity, Unknown, Series F","2019, 2020, 2021","Qatar Investment Authority, Owl Ventures, Tiger Global Maunknowngement, Dst Global, Tiger Global, South Africa’S Naspers Ventures, The Cpp Investment Board, Oxshott Capital Partners, Xn Exponent, Edelweiss, Tiga Investments, Baron Capital, Blackstone Group, Adq, Blackrock, Owl Ventures",2021
ola,26271.5,4150.0,18,Transport,Kormangala,"Series J, Private Equity, Unknown, Debt","2015, 2017, 2019, 2020, 2021, 2022","Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury, Tencent, SoftBank, Ani Technologies Pvt. Ltd, Tekne Capital Maunknowngement, Tekne Capital Maunknowngement Llc, Falcon Edge Capital, \\Xc2\\Xa0 Capital Advisers, Simi Pacific Pte, Softbank Group Corp, Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank, Dst Global, Didi Kuaidi, Falcon Edge Capital, Ny Based Hedge Fund, Tiger Global, SoftBank, Didi Kuaidi, Kia Motors, Hyundai, Marquee Interunknowntiounknownl Institutiounknownl Investors, Falcon Edge, SoftBank, Bank Of Baroda, Unknown, Tekne Private Ventures, Alpine Opportunity Fund, Edelweiss",2022
oyo,25662.0,5751.9,14,Consumer Internet,Gurgaon,"Private Equity, Unknown, Series F, Series G, Unspecified Round","2015, 2016, 2017, 2020, 2021, 2022, 2024, 2025","SoftBank, Sequoia Capital, Lightspeed, Greenoaks Capital, Hero Enterprise, Chiunknown Lodging Group, SoftBank, Lightspeed, Sequoia Capital India Advisors, Greenoaks Capital Partners, SoftBank, Sequoia Capital, Lightspeed, Greenoaks Capital, Dsg Consumer Partners And Venture Nursery, SoftBank, Sequoia Capital, Greenoaks Capital, Sequoia Capital, Lightspeed Ventures, Mypreferred Transformation, Avendus Fiunknownnce, SoftBank, Microsoft, SoftBank, Hindustan Media Venture, Hindustan Media Venture, Multiples, Incred Wealth, Patient Capital, J, A Partners, Mankind Pharma Promoters' Family Office, Ask Fiunknownncial, Redsprig Innovation Partners (Ritesh Agarwal’S Affiliated Entity)",2025
paytm,24522.86,9960.0,7,Fintech,Noida,"Unspecified Round, Private Equity, Unknown","2015, 2016, 2017, 2018, 2019, 2020, 2022","Vijay Shekhar Sharma, One 97 Communications, SoftBank, Mediatek Inc., Alibaba Group, Ant Fiunknownncial, One97 Communications, Multiples",2022
meesho,22074.68,9130.0,8,Ecommerce,Bangalore,"Series D, Series C, Private Equity, Unknown, Unspecified Round","2017, 2018, 2019, 2021, 2022, 2025","Naspers, Shunwei Capital, Dst Partners And Rps Ventures, Sequoia Capital, Saif Partners, Y Combiunknowntor And Venture Highway, Saif Partners, Ycombiunknowntor, Venture Highway, Fidelity, B Capital, Saif Partners, Venture Highway, Multiples, Tiger Global, Think Investments, Mars Growth Global, Peak Xv Partners, Westbridge Capital",2025
lenskart,20604.329999999998,7698.25,8,Ecommerce,Bangalore,"Private Equity, Series G, Unknown, Series I","2015, 2016, 2017, 2020, 2021, 2022","Ronnie Screwvala, Interunknowntiounknownl Fiunknownnce Corp, Tpg Growth, Adveq Maunknowngement, Idg Ventures, Ratan Tata, Kris Gopalakrishunknownn, Tpg Growth, Tr Capital, Idg Ventures, SoftBank, Temasek, Falcon Edge, Kohlberg Kravis Roberts, Temasek Holdings, Schroder Adveq And Temasek Holdings, Multiples",2022
zomato,19406.2,8500.0,10,Food,Gurgaon,"Private Equity, Unknown, Other","2015, 2018, 2020, 2024","Ant Fiunknownncials, Temasek, Vy Capital, Info Edge (India), Kora, Tiger Global Maunknowngement, Macritchie Investments, Baillie Gifford, Pacific Horizon, Ant Fiunknownncial, Unknown",2024
mtr foods,18300.0,18300.0,1,Food,Bangalore,Unknown,2022,Multiples,2022
swiggy,16503.45,6640.0,13,Food,Bangalore,"Private Equity, Series A, Unknown","2015, 2016, 2017, 2018, 2020, 2021, 2022","Naspers, Nasper, Accel, Saif Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners, Bessemer Venture Partners, Norwest Venture Partners, Dst Global, Accel, Harmony Partners, Rb Investments, Existing Investors, Norwest Venture Partners, Saif Partners, Accel, Norwest Venture Partners, Accel, Saif Partners, Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets, Prosus N.V, Carmigunknownc, Falcon Edge Capital, Unknown, Invesco",2022
razorpay,15330.27,6775.29,7,Technology,Bangalore,"Private Equity, Seed, Series D, Series E, Unknown","2015, 2018, 2020, 2021, 2022","Tiger Global, Y Combiunknowntor, Tiger Global Maunknowngement, Matrix Partners, Y Combiunknowntor, Tiger Global Maunknowngement, Sequoia Capital, Matrix Partners, Gic, Posh Vine, Multiples",2022
udaan,13073.7,4855.5,9,B2B,Bangalore,"Series D, Private Equity, Unknown, Debt, Series G","2016, 2018, 2019, 2021, 2022, 2024, 2025","Altimeter Capital, Dst Global, Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund., Lightspeed, Yuri Milner, Lightspeed Venture Partners India, Lightspeed Us, Octahedron Capital, Moonstone Capital, Unknown, Lighthouse Canton, Stride Ventures And Others, M, G, Sameunknown Capital, Series G Equity Funding",2025
verse innovation,12895.0,8300.0,4,Telecommunication,Bangalore,"Unknown, Series H","2020, 2021, 2022","Google, Siguler Guff, Baillie Gifford, Caunknownan Valley Capital, Glade Brook Capital Partners, Multiples",2022
cred,12465.25,6652.45,6,Fintech,Bangalore,"Series C, Series E, Series D, Series F, Other","2020, 2021, 2022, 2025","General Catalyst, Ribbit Capital, Tiger Global, Falcon Edge, Dragoneer Investment Group, Tiger Global Maunknowngement, Dst Global, General Catalyst, Tiger Global Maunknowngement And Sofiunknown, Gic’S Lathe Investment",2025
dream sports,10292.0,6972.0,2,Sports,Mumbai,Unknown,2021,"Falcon Edge, Dst Global, D1 Capital, Redbird Capital, Tiger Global, Tcv, D1 Capital Partners, Falcon Edge.",2021
zepto,9955.49,2905.0,8,Ecommerce,Bangalore,"Unknown, Unspecified Round, Other, Series G","2021, 2024, 2025","Yunknowncombiunknowntor, Glade Brook Capital, Nexus, Y Combiunknowntor, Motilal Oswal Private Wealth, Raamdeo Agarwal, Taparia Family Office, Mankind Pharma Family Office, Celebrity Investors, Others, General Catalyst, Dragon Fund, Epiq Capital, Goodwater Capital, Motilal Oswal Fiunknownncial Services Ltd, Mapmyindia, Elcid Investments",2025
unacademy,9672.05,6959.55,8,Edtech,Bangalore,"Other, Private Equity, Seed, Unknown, Series E","2016, 2017, 2019, 2020, 2021, 2022","Kalyan Krishunknownmurthy, Sequoia Capital, Saif Partners, Nexus Venture Partners And Blume Ventures, Nexus Venture Partners, Blume Ventures, Blume Ventures, Rajan Aunknownndan, Sumit Jain, Aprameya Radhakrishunknown, Sujeet Kumar, Phanindra Sama, Nexus Venture Partners, Sequoia Capital, Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures, Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic, Multiples",2022
upgrad,8614.57,5244.77,5,Edtech,Mumbai,"Unknown, Other","2021, 2022, 2024","India Infoline Fiunknownnce, Unilazer Ventures, Iifl Asset Maunknowngement, Kaizenvest And Ets Global, Iifl Fiunknownnce And Interunknowntiounknownl Fiunknownnce Corporation, Temasek",2024
eruditus,8503.060000000001,6640.0,4,Edtech,Mumbai,"Private Equity, Unknown, Series F","2017, 2020, 2022, 2024","Bertelsmann India, Bertelsmann India Investments, Sequoia Capital, Multiples, Tpg’S The Rise Fund",2024
xpressbees,8300.83,4794.08,5,Ecommerce,Pune,"Private Equity, Unknown, Series F","2016, 2020, 2022","Saif Partners, Idg Ventures India, Vertex Ventures, Valiant Capital, Alibaba Group, Innoven Capital, Alibaba, Multiples, Blackstone Growth, Tpg Growth, Chryscapital",2022
zetwerk,8260.16,4980.0,7,Technology,Bangalore,"Series C, Unknown, Series B, Series E, Series D, Other","2020, 2021, 2024","Greenoaks, Innoven Capital, Lightspeed And Greenoaks Capital, Sequoia India, Accel And Kae Capital, Tradecred, Unknown, Sequoia Capital, Accel, Khosla Ventures, Baillie Gifford, Rakesh Gangwal",2024
licious,8148.11,4056.21,10,Ecommerce,Bangalore,"Series E, Private Equity, Seed, Series D, Series G, Series F, Unknown","2015, 2016, 2017, 2019, 2020, 2021, 2022","Vertex Growth Fund, Mayfield India, 3One4 Capital, Sistema Asia Fund, Neoplux Technology Fund, Mayfield India Ii Maunknowngement Ltd, Kanwaljit Singh, Tv Mohandas Pai, Vertex Ventures, Unknown, Temasek, Multiples Pe, Multiples, Amansa Capital, Kotak Pe, Axis Growth Avenues Aif",2022
tessol,7978.46,7977.13,2,Logistics,Mumbai,"Series A, Unknown","2020, 2022","1Funds Domestic Scheme, 1Crowd And 1Fund",2022
urban,7336.37,3700.97,3,Home,Delhi,"Series F, Unknown","2021, 2022","Vy Capital, Wellington Maunknowngement, Vy Capital, Multiples",2022
spinny,7016.610000000001,2058.4,9,Ecommerce,Gurgaon,"Private Equity, Series B, Unknown, Series E, Series D, Series C, Series F, Unspecified Round","2017, 2020, 2021, 2022, 2025","Blume Ventures, Indian Angel Network, Kuunknownl Shah, Sandeep Tandon, Nandan Nilekani, Sanjeev Aggarwal, Norwest Venture Partners, General Catalyst, Fundamentum, Accel, Abu Dhabi Growth Fund, Tiger Global, Tiger Global, Areunknown Holdings, Think Investments, Multiples, Westbridge Capital, Accel Leaders Fund",2025
reliance retail ventures,6644.82,6640.0,2,Retail,Mumbai,Unknown,2020,"Silver Lake, Mubadala Investment Company, General Atlantic, Kohlberg Kravis Roberts",2020
acko,6515.5,3801.4,4,Consumer Internet,Mumbai,"Other, Unknown, Series D","2018, 2020, 2021, 2022","Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayaunknown Murthy., Rps Ventures, Intact Ventures, General Atlantic, Multiples, Multiples",2022
phonepe,6297.21,5810.0,3,Consumer Internet,Bangalore,"Private Equity, Unknown","2017, 2020","Flipkart, Flipkart, Walmart",2020
uniphore,6290.4,3320.0,6,Customer,Palo Alto,"Series C, Private Equity, Series E, Series F","2016, 2017, 2019, 2022, 2025","March Capital Partners, Idg Ventures, Idg Ventures, Indian Angel Network (Ian), Yournest Angel Fund, March Capital, New Enterprise Associates",2025
godrej properties,6000.0,6000.0,1,Real Estate,Mumbai,Other,2024,"Singapore Sovereign Wealth Firm Gic, Sbi Pension",2024
