Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
ecozen,Technology,Pune,49.8,Series A,Sathguru Catalyzer Advisors,2019,December
car dekho,Ecommerce,Gurgaon,581.0,Series D,Ping An Global Voyager Fund,2019,December
dhruva space,Aerospace,Bangalore,415.0,Seed,"Mumbai Angels, Ravikanth Reddy",2019,December
rivigo,Technology,Gurgaon,166.0,Series F,"Saif Partners, Spring Canter Investment Ltd.",2019,December
healthians,B2Bfocused Foodtech,Bangalore,99.6,Series C,"Paytm, Nptk, Sabre Partners And Neoplux",2019,December
licious,Ecommerce,Bangalore,249.0,Series E,Vertex Growth Fund,2019,December
incred,Fintech,Mumbai,48.97,Debt,Unknown,2019,December
trell,Video,Bangalore,16.6,Seed,Ruizheng Investment,2019,December
rein games,Gaming,Noida,415.0,Seed,Manipal Education And Medical Group (Memg),2019,December
lenskartcom,Ecommerce,Faridabad,1917.3,Series G,SoftBank,2019,December
freshworks,Software,San Francisco,1245.0,Series H,"Sequoia Capital, Capitalg, Accel",2019,November
misters,Healthcare,Gurgaon,4.03,Series B,"Sauce.Vc, Rainforest Ventures",2019,November
sunstone eduversity,Edtech,Gurgaon,12.45,Seed,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Counknownfounder Rajul Garg",2019,November
healthians,Healthcare,Gurgaon,99.6,Series B,"Dg Daiwa Ventures, Dg Incubation",2019,November
ninjacart,B2B Marketing,Bangalore,215.8,Debt,Trifecta Capital Advisors,2019,November
aye finance,Fintech,Gurgaon,144.51,Debt,Fintech,2019,November
supergaming,Video Games,Pune,10.79,Seed,Dream Incubator,2019,November
clumio,SaaS,San Jose,1120.5,Series C,"Altimeter Capital, Sutter Hill Ventures",2019,November
ebikego,Last Mile Transportation,Amritsar,2.49,Seed,Startup Buddy,2019,November
digital mall asia,Ecommerce,Delhi,1826.0,Seed,Amour Infrastructure,2019,November
medikabazaar,Healthcare,Mumbai,131.14,Series B,"Ackermans, Van Haaren, Healthquad, Rebright Partners, Toppan Printing",2019,November
vogo automotive,Last Mile Transportation,Kormangala,2348.9,Series B,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",2019,November
furtados school of music,Edtech,Tulangan,1660.0,Unknown,Ian Fund And Dsg Consumer Partners,2019,November
paytm,Fintech,Noida,8300.0,Unspecified Round,Vijay Shekhar Sharma,2019,November
dunzo,Customer,Bangalore,373.5,Series D,Lightbox,2019,October
udaan,B2B,Bangalore,4855.5,Series D,"Altimeter Capital, Dst Global",2019,October
fpl,Fintech,Pune,37.35,Other,"Matrix Partners, Sequoia India",2019,September
cashflo,Fintech,Mumbai,27.39,Series A,Saif Partners,2019,September
digital f5,Advertising Marketing,Mumbai,49.8,Private Equity,Tiw Private Equity,2019,September
3rdflix,SaaS,Hyderabad,41.5,Pre-Series A,Exfinity Venture Partners,2019,September
75f,Iot,Burnsville,149.4,Series A,Breakthrough Energy Ventures,2019,September
myelin foundry,Information Technology,Bangalore,8.3,Seed,Endiya Partners,2019,September
atomberg technology,Consumer Technology,Mumbai,83.0,Series A,A91 Partners,2019,September
goqii,Healthcare,Menlo Park,3735.0,Series C,Bennett Coleman And Company Ltd (Bccl),2019,September
vyapar app,Accounting,Bangalore,41.5,Series A,"India Quotient, Axilor Ventures",2019,September
car dekho,Ecommerce,Gurgaon,166.0,Series C,Sc Gg India Mobility Holdings Llc,2019,August
progcap,Fintech,Delhi,41.5,Series A,Sequoia India,2019,August
mypetrolpump,Retail,Bangalore,13.28,Seed,Unknown,2019,August
alteria capital,Fintech,Mumbai,1162.0,Other,"Azim Premji, Binny Bansal",2019,August
pine labs,Information Technology,Noida,316.06,Other,Pine Labs Pte Ltd,2019,August
meesho,Ecommerce,Bangalore,1037.5,Series D,Naspers,2019,August
cars24,Ecommerce,Gurgaon,91.3,Series D,Ms Dhoni,2019,August
uniphore,Customer,Palo Alto,423.3,Series C,March Capital Partners,2019,August
zendrive,Automotive,San Francisco,307.1,Series B,Xl Innovate,2019,August
lo foods,Consumer Goods,Bangalore,4.15,Seed,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Counknownfounder, Myntra) And Mitesh Shah (Fiunknownnce Chief, Bookmyshow)",2019,August
tala,Fintech,Santa Monica,913.0,Series D,Rps Ventures,2019,August
indwealth,Fintech,Gurgaon,124.5,Venture,Tiger Global Maunknowngement,2019,August
hungerbox,Food,Bangalore,54.7,Series C,One97 Communications Ltd.,2019,August
admitkard,Edtech,Noida,8.3,Seed,Growth Dna,2019,August
grofers,Ecommerce,Gurgaon,581.0,Series F,SoftBank,2019,August
rapido bike taxi,Transportation,Bangalore,0.27,Series B,Westbridge Capital,2019,August
renewbuy,Fintech,Gurgaon,157.7,Series B,"Lok Capital, Iifl Wealth",2019,July
atlan,Information Technology,Singapore,20.75,Pre-Series A,Waterbridge Ventures,2019,July
wizcounsel,Compliance,Delhi,1.2,Angel,Kapil Dev,2019,July
ola,Transport,Kormangala,8.3,Series J,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",2019,July
uniphore,AI,Taramani,316.06,Series C,March Capital Partners,2019,July
daalchini,Food,Delhi,4.15,Seed,Artha Venture,2019,July
byjus,Edtech,Bangalore,1245.0,Private Equity,Qatar Investment Authority,2019,July
moglix,Ecommerce,Singapore,498.0,Series D,"Composite Capital Maunknowngement, Sequoia Capital, Tiger Global Maunknowngement",2019,July
ezyhaul,Technology,Singapore,132.8,Series B,Unknown,2019,July
indus os,Technology,Andheri,47.73,Series B,Ventureast,2019,July
healthassure,Healthcare,Mumbai,20.75,Series A,Blume Ventures,2019,July
house of msasaba,Luxury Label,Mumbai,8.3,Series A,Binny Bansal,2019,July
board infinity,Edtech,Chembur,2.65,Angel,Multiple Angel Investors,2019,July
nobroker,Ecommerce,Bangalore,423.3,Series C,General Atlantic,2019,June
bira91,Food,Delhi,83.0,Debt,Anicut Capital,2019,June
fab hotels,Ecommerce,Gurgaon,40.59,Unknown,"Goldman Sachs, Accel Partners And Qualcomm",2019,June
avail finance,Fintech,Bangalore,74.7,Series A,Matrix Partners,2019,June
bharat pe,Fintech,Delhi,622.5,Series B,Insight Partners,2019,June
recykal,Waste Management,Hyderabad,215.8,Pre-Series A,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",2019,June
agara labs,Deeptech,Bangalore,20.75,Pre-Series A,Blume Ventures And Rtp Global,2019,June
sistemabio,Agritech,Nairobi,22.73,Unknown,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",2019,June
chakr innovation,Energy,Delhi,215.8,Series A,Ian Fund,2019,June
pratilipi,Digital Media,Bangalore,125.41,Series B,Qiming Venture Partners,2019,June
bolo app,Digital Media,Bangalore,3.57,Seed,Nexus Venture Partners,2019,June
okcredit,Fintech,Haryana,128.65,Series A,Tiger Global Maunknowngement,2019,June
biz2credit,Fintech,New York,431.6,Series B,Westbridge Capital,2019,June
vogo automotive,Transportation,Karnataka,29.75,Debt,Alteria Capital,2019,June
leegality,Technology,Mumbai,28.22,Series A,Mumbai Angels,2019,June
saahas zero waste,Waste Management,Bangalore,7.21,Other,C4D Partners,2019,May
