Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
Ecozen,Technology,Pune,49.8,Series A,Sathguru Catalyzer Advisors,2019,December
Car Dekho,Ecommerce,Gurgaon,581.0,Series D,Ping An Global Voyager Fund,2019,December
Dhruva Space,Aerospace,Bangalore,415.0,Seed,"Mumbai Angels, Ravikanth Reddy",2019,December
Rivigo,Technology,Gurgaon,166.0,Series F,"Saif Partners, Spring Canter Investment Ltd.",2019,December
Healthians,B2Bfocused Foodtech,Bangalore,99.6,Series C,"Paytm, Nptk, Sabre Partners And Neoplux",2019,December
Licious,Ecommerce,Bangalore,249.0,Series E,Vertex Growth Fund,2019,December
Incred,Fintech,Mumbai,48.97,Debt,Unknown,2019,December
Trell,Video,Bangalore,16.6,Seed,Ruizheng Investment,2019,December
Rein Games,Gaming,Noida,415.0,Seed,Manipal Education And Medical Group (Memg),2019,December
Lenskartcom,Ecommerce,Faridabad,1917.3,Series G,SoftBank,2019,December
Freshworks,Software,San Francisco,1245.0,Series H,"Sequoia Capital, Capitalg, Accel",2019,November
Misters,Healthcare,Gurgaon,4.03,Series B,"Sauce.Vc, Rainforest Ventures",2019,November
Sunstone Eduversity,Edtech,Gurgaon,12.45,Seed,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Counknownfounder Rajul Garg",2019,November
Burger Singh,Food,Gurgaon,0.0,Venture,Rb Investments,2019,November
Healthians,Healthcare,Gurgaon,99.6,Series B,"Dg Daiwa Ventures, Dg Incubation",2019,November
Ninjacart,B2B Marketing,Bangalore,215.8,Debt,Trifecta Capital Advisors,2019,November
Aye Finance,Fintech,Gurgaon,144.51,Debt,Fintech,2019,November
Supergaming,Video Games,Pune,10.79,Seed,Dream Incubator,2019,November
Clumio,SaaS,San Jose,1120.5,Series C,"Altimeter Capital, Sutter Hill Ventures",2019,November
Ebikego,Last Mile Transportation,Amritsar,2.49,Seed,Startup Buddy,2019,November
Digital Mall Asia,Ecommerce,Delhi,1826.0,Seed,Amour Infrastructure,2019,November
Medikabazaar,Healthcare,Mumbai,131.14,Series B,"Ackermans, Van Haaren, Healthquad, Rebright Partners, Toppan Printing",2019,November
Vogo Automotive,Last Mile Transportation,Kormangala,2348.9,Series B,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",2019,November
Furtados School Of Music,Edtech,Tulangan,1660.0,Unknown,Ian Fund And Dsg Consumer Partners,2019,November
Paytm,Fintech,Noida,8300.0,Unspecified Round,Vijay Shekhar Sharma,2019,November
Dunzo,Customer,Bangalore,373.5,Series D,Lightbox,2019,October
Udaan,B2B,Bangalore,4855.5,Series D,"Altimeter Capital, Dst Global",2019,October
The Man,Consumer Goods,Gurgaon,0.0,Other,Ayushmann Khuraunknown,2019,October
Fpl,Fintech,Pune,37.35,Other,"Matrix Partners, Sequoia India",2019,September
Cashflo,Fintech,Mumbai,27.39,Series A,Saif Partners,2019,September
Digital F5,Advertising Marketing,Mumbai,49.8,Private Equity,Tiw Private Equity,2019,September
3Rdflix,SaaS,Hyderabad,41.5,Pre-Series A,Exfinity Venture Partners,2019,September
75F,Iot,Burnsville,149.4,Series A,Breakthrough Energy Ventures,2019,September
Myelin Foundry,Information Technology,Bangalore,8.3,Seed,Endiya Partners,2019,September
Atomberg Technology,Consumer Technology,Mumbai,83.0,Series A,A91 Partners,2019,September
Goqii,Healthcare,Menlo Park,3735.0,Series C,Bennett Coleman And Company Ltd (Bccl),2019,September
Vyapar App,Accounting,Bangalore,41.5,Series A,"India Quotient, Axilor Ventures",2019,September
Car Dekho,Ecommerce,Gurgaon,166.0,Series C,Sc Gg India Mobility Holdings Llc,2019,August
Progcap,Fintech,Delhi,41.5,Series A,Sequoia India,2019,August
Mypetrolpump,Retail,Bangalore,13.28,Seed,Unknown,2019,August
Alteria Capital,Fintech,Mumbai,1162.0,Other,"Azim Premji, Binny Bansal",2019,August
Pine Labs,Information Technology,Noida,316.06,Other,Pine Labs Pte Ltd,2019,August
Meesho,Ecommerce,Bangalore,1037.5,Series D,Naspers,2019,August
Cars24,Ecommerce,Gurgaon,91.3,Series D,Ms Dhoni,2019,August
Uniphore,Customer,Palo Alto,423.3,Series C,March Capital Partners,2019,August
Zendrive,Automotive,San Francisco,307.1,Series B,Xl Innovate,2019,August
Lo Foods,Consumer Goods,Bangalore,4.15,Seed,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Counknownfounder, Myntra) And Mitesh Shah (Fiunknownnce Chief, Bookmyshow)",2019,August
Tala,Fintech,Santa Monica,913.0,Series D,Rps Ventures,2019,August
Indwealth,Fintech,Gurgaon,124.5,Venture,Tiger Global Maunknowngement,2019,August
Hungerbox,Food,Bangalore,54.7,Series C,One97 Communications Ltd.,2019,August
Admitkard,Edtech,Noida,8.3,Seed,Growth Dna,2019,August
Mishry Reviews,Technology,Gurgaon,0.0,Series A,Vir Sanghvi,2019,August
Grofers,Ecommerce,Gurgaon,581.0,Series F,SoftBank,2019,August
Rapido Bike Taxi,Transportation,Bangalore,32370.0,Series B,Westbridge Capital,2019,August
Renewbuy,Fintech,Gurgaon,157.7,Series B,"Lok Capital, Iifl Wealth",2019,July
Atlan,Information Technology,Singapore,20.75,Pre-Series A,Waterbridge Ventures,2019,July
Wizcounsel,Compliance,Delhi,1.2,Angel,Kapil Dev,2019,July
Ola,Transport,Kormangala,8.3,Series J,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",2019,July
Uniphore,AI,Taramani,316.06,Series C,March Capital Partners,2019,July
Daalchini,Food,Delhi,4.15,Seed,Artha Venture,2019,July
Byjus,Edtech,Bangalore,1245.0,Private Equity,Qatar Investment Authority,2019,July
Moglix,Ecommerce,Singapore,498.0,Series D,"Composite Capital Maunknowngement, Sequoia Capital, Tiger Global Maunknowngement",2019,July
Ezyhaul,Technology,Singapore,132.8,Series B,Unknown,2019,July
Indus Os,Technology,Andheri,47.73,Series B,Ventureast,2019,July
Healthassure,Healthcare,Mumbai,20.75,Series A,Blume Ventures,2019,July
House Of Msasaba,Luxury Label,Mumbai,8.3,Series A,Binny Bansal,2019,July
Board Infinity,Edtech,Chembur,2.65,Angel,Multiple Angel Investors,2019,July
Nobroker,Ecommerce,Bangalore,423.3,Series C,General Atlantic,2019,June
Bira91,Food,Delhi,83.0,Debt,Anicut Capital,2019,June
Fab Hotels,Ecommerce,Gurgaon,40.59,Unknown,"Goldman Sachs, Accel Partners And Qualcomm",2019,June
Avail Finance,Fintech,Bangalore,74.7,Series A,Matrix Partners,2019,June
Bharat Pe,Fintech,Delhi,622.5,Series B,Insight Partners,2019,June
Recykal,Waste Management,Hyderabad,215.8,Pre-Series A,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",2019,June
Agara Labs,Deeptech,Bangalore,20.75,Pre-Series A,Blume Ventures And Rtp Global,2019,June
Sistemabio,Agritech,Nairobi,22.73,Unknown,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",2019,June
Chakr Innovation,Energy,Delhi,215.8,Series A,Ian Fund,2019,June
Pratilipi,Digital Media,Bangalore,125.41,Series B,Qiming Venture Partners,2019,June
Bolo App,Digital Media,Bangalore,3.57,Seed,Nexus Venture Partners,2019,June
Okcredit,Fintech,Haryana,128.65,Series A,Tiger Global Maunknowngement,2019,June
