Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Zaggle Prepaid Ocean Services,Enterprise Fintech,Hyderabad,595.0,Funding Round,Qualified Institutional Placement (Bank of India - largest buyer),2024,December
EPACK Prefab,Pre-engineered Buildings,Greater Noida,166.0,First Funding Round,GEF Capital Partners,2024,December
Captain Fresh,Seafood B2B,Bengaluru,100.0,Funding Round,Motilal Oswal Wealth Limited,2024,December
Univest,Retail Advisory Platform,Gurugram,83.0,Series A,Bertelsmann India Investments (BII),2024,December
Mindgrove Technologies,Semiconductor Design,Chennai,66.4,Series A,"Rocketship.vc, Speciale Invest, Mela Ventures, Peak XV Partners, Nishchay Goel, Whiteboard Capital, Anshul Goel",2024,December
HostBooks,Enterprise SaaS Fintech,Gurugram,41.5,Funding Round,Orange Orbit (as part of a $15M Series B funding round),2024,December
Sparkl Edventure,Edtech,Delhi,33.2,Seed Round,"Rainmatter Foundation (Nithin Kamath), Zomato’s Deepinder Goyal",2024,December
Arata,D2C Haircare,New Delhi,33.2,Series A,"Unilever Ventures, L’Oréal’s BOLD Ventures, Skywalker Family Office",2024,December
Confido Health,AI-focused Healthtech,"New Jersey, US",24.9,Seed Round,"Together Fund, MedMountain Ventures, Rebellion VC, DeVC, Operators Studio, strategic healthcare operators",2024,December
SustVest,Sustainable Investment Platform,Gurugram,14.11,Pre-Series A (Equity & Debt),"Inflection Point Ventures, Antler, WEH Ventures, Venture Catalysts, Soonicorn Ventures, FAAD Network",2024,December
Leanworx,Manufacturing Data Solutions,Bengaluru,8.3,Seed Round,"YourNest Venture Capital, angel investment group",2024,December
Proxgy,IoT Solutions,Gurugram,24.9,Series A,"Ajinkya Rahane, Nikhil Kamath, Suniel Shetty, Vinod Duggar, Manish Patel",2024,December
KiranaPro,Quick Commerce,Bengaluru,,Seed Funding,"Turbostart, Unpopular Ventures, Blume Founders Fund, Snow Leopard Ventures",2024,December
Naxatra Labs,Tech Solutions,Ahmedabad,,Seed Funding,"GVFL, Mohit Tandon (Delhivery), Himanshu Aggarwal (Aspiring Minds), Rainmatter Foundation (Nithin Kamath), Vijay Shekhar Sharma, Aloke Bajpai, Rajnish Kumar, Narayan (Ather Energy)",2024,December
Bureau,Risk Intelligence,India,249.0,Series B,"Sorenson Capital, PayPal Ventures, Commerce Ventures, GMO Venture Partners, Village Global, Quona Capital, XYZ Ventures",2024,December
Bizom,Retail Intelligence,Bengaluru,99.6,Series B,"Pavestone ($7.5M), IndiaMART, and family offices",2024,December
Seekho,Learning-focused OTT Platform,Bengaluru,66.4,Series A,Lightspeed,2024,December
ZingBus,Intercity Mobility,Gurugram,59.0,Funding Round,BP Technology Ventures,2024,December
QuiD Cash,Supply Chain Fintech,Bengaluru,37.35,Pre-Series A,"Angel investors, including Piyush Jain, and MINTCAP",2024,December
Inkers Technology,Prop-tech,Bengaluru,24.9,Series A,Ashish Kasholia (Lucky Investments),2024,December
Confido Health,AI-focused Healthtech,Ichalkaranji,24.9,Seed Round,"Together Fund, MedMountain Ventures, Rebellion VC, DeVC, Operators Studio, strategic healthcare operators",2024,December
Zunroof,Rooftop Solar,Gurugram,20.0,Funding Round,"ANBG Enterprise LLP (Godrej Family Office), Ravindernath Chadha",2024,December
Quanfluence,Photonic Quantum Technology,Bengaluru,16.6,Seed Round,"pi Ventures, Golden Sparrow, Reena Dayal",2024,December
Mili,AI Wealth Management Assistant,Mumbai,16.6,Seed Round,"Chiratae, BoldCap, Sparrow Capital, SFMG Wealth Advisors, Gregg Fisher (Quent Capital), Better Capital",2024,December
Curie Money,Fintech Platform,Bengaluru,9.96,Seed Round,"India Quotient, institutional and angel investors",2024,December
Resilience AI,Climate Technology,Gurugram,8.3,Seed Round,Kalaari Capital (CXXO Initiative),2024,December
Fitsol,Decarbonization for Manufacturing,New Delhi,8.3,Seed Round,Transition VC,2024,December
Fibroheal Woundcare,Medical Devices,Bengaluru,6.3,Pre-Series A,"Existing promoters, surgeons, medical professionals, and bankers",2024,December
VOICE,Electric Vehicles,Delhi,5.0,Seed Round,BizDateUp,2024,December
MBG Card,SaaS,Jabalpur,2.72,Funding Round,"Inflection Point Ventures, Velocity, Klub",2024,December
Rebel Foods,Foodtech,Mumbai,1743.0,Series G,"Temasek, Evolvence",2024,December
Mintifi,Supply-Chain Financing,Mumbai,1494.0,Series E,"Teachers’ Venture Growth (TVG), Prosus, Premji Invest",2024,December
Zetwerk,Contract Manufacturing,Bengaluru,581.0,Fresh Funding,"Khosla Ventures, Baillie Gifford, Rakesh Gangwal",2024,December
CarDekho SEA,Digital Automotive Solutions,Singapore,498.0,External Funding Round,"Navis Capital Partners, Dragon Fund",2024,December
Haber,Industrial Robotics,Pune,365.2,Series C,"Creaegis, BEENEXT, Accel",2024,December
Wooden Street,Furniture & Home Decor,Jaipur,354.0,Series C,Premji Invest,2024,December
SolarSquare,Solar Startup,Mumbai,332.0,Series B,"Lightspeed, Lightrock, Elevation Capital, Chris Sacca’s Lowercarbon, Nithin Kamath’s Rainmatter, Gruhas Proptech",2024,December
K12 Techno Services,Edtech - Schools,Bengaluru,332.0,Investment,Kenro Capital,2024,December
LambdaTest,Cloud-Based Testing Platform,San Francisco,315.4,Funding Round,"Avataar Ventures, Qualcomm Ventures",2024,December
OneCard,Credit Card Issuance,Pune,211.65,Fresh Funding,"QED Investors, Peak XV Partners, Z47, Better Tomorrow Ventures",2024,December
Pixxel,Spacetech,Bengaluru,199.2,Series B (Additional Funding),"M&G Catalyst, Glade Brook Capital Partners, Google, Radical Ventures, Lightspeed",2024,December
Snapmint,Fintech,Mumbai,149.4,Debt and Equity Round,"Prashasta Seth (Prudent Investment Manager), Perpetuity Ventures, Pegasus Fininvest",2024,December
RapidCanvas,AI Business Transformation,Austin,132.8,Series A,"Peak XV Partners, Titanium Ventures, Accel, Valley Capital Partners",2024,December
Varthana,NBFC - Education Loans,Bengaluru,124.5,Funding Round,BlueOrchard Microfinance Fund,2024,December
Avanti Finance,NBFC,Auckland,117.86,Series B,"Dia Vikas Capital, IDH Farmfit Fund, NRJN Family Trust, Rabo Partnerships",2024,December
Orange Health Labs,Diagnostics & Healthcare,Bengaluru,99.6,Funding Round,"Amazon Smbhav Venture Fund, Accel, General Catalyst, Bertelsmann India Investments, Y Combinator",2024,December
Stage,Regional OTT Platform,Indore,84.6,Series B,"Goodwater Capital, Blume Ventures",2024,December
DCDC Kidney Care,Healthcare,New Delhi,82.0,Strategic Investment,British International Investment (BII),2024,December
FirstClub,Quick Commerce,Bengaluru,66.4,Funding Round,"Accel, RTP Global, Blume Founders Fund, Quiet Capital, 2am VC, angel investors",2024,December
FinX,Skilling Platform,Mumbai,49.8,Funding Round,Elevar Equity,2024,December
Culture Circle,Sneakers & Streetwear,Gurugram,16.6,Seed Round,"Info Edge Ventures, angel investors",2024,December
Superfone,SMB CRM App,Bengaluru,15.77,Pre-Series A,"YourNest Venture Capital, Ankur Capital, Finsight Seed Fund, angel investors",2024,December
Infinity,Business Banking,Bengaluru,15.77,Equity Funding,"Y Combinator, Liquid 2 Ventures, Script Capital, angel investors",2024,December
Sustainiam,Climate Tech,Bengaluru,12.035,Maiden Funding Round,"Orios Venture Partners, Shilpa Shetty Kundra, Rajesh Sawhney, Harsh Vardhan Bhagchandka, Vinit Bhansali",2024,December
Navanc,Fintech,Bengaluru,8.3,Seed Round,"Prarambh Ventures, Inflection Point Ventures (IPV), Brigade REAP, angel investors",2024,December
Kreedo Early Childhood Solutions,Edtech,Bengaluru,10.0,Debt Funding,Recur Club,2024,December
Power Gummies,D2C Gummies,New Delhi,10.0,Bridge Round,"Jaipuria Family Office, Quadrant, 100unicorn, DSGCP, Wipro Consumer, Venture Catalysts, others",2024,December
SaveSage Club,Credit Card Management,Gurugram,2.5,Angel Funding,"iSEED, Alluvium Fund, LetsVenture Fund, angel investors",2024,December
Nodwin Gaming,Gaming and Entertainment,Gurugram,64.0,Convertible Preferred Stock,Nazara Technologies,2024,December
Atmosphere The Store Makers,Retail,Mumbai,5.0,Seed,Artha Venture Fund and PIL Italica Lifestyle Limited,2024,December
Neuranics,HealthTech,New Delhi,5.81,Seed,Inflection Point Ventures (IPV),2024,December
Annapurna Finance,Financial Services,Bhubaneswar,908.85,Multilateral ECB Transaction,-,2024,December
The Money Club,FinTech,Noida,20.75,Series A,Prudent Investment Managers,2024,December
Terractive,AgriTech,Mumbai,8.0,Pre-Series A,Fireside Ventures and DeVC (anchored by Z47),2024,December
Medial,Media and Entertainment,Bengaluru,4.15,Pre-Series A,Ortella Global Capital (OG Capital),2024,December
Ultraviolette,EV Manufacturing,Bengaluru,130.0,-,"Zoho Corporation, Lingotto Co-Invest Fund I, Mudhal Partners, others",2024,December
The Indus Valley,D2C Kitchenware,Chennai,23.1,Pre-Series A,DSG Consumer Partners,2024,December
Enterpret,SaaS,India,172.64,Series A,"Kleiner Perkins, Peak XV Partners, Wing Ventures, Recall Capital",2024,December
ZFunds,FinTech,Gurugram,25.0,Seed,Elevation Capital,2024,December
WickedGud,D2C Food Products,Mumbai,20.0,Seed,Orios Venture Partners,2024,December
Dentalkart,Dental Supplies Marketplace,New Delhi,85.0,-,"Malabar Investment, Whiteoak",2024,December
