Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Multiples,84116.15,32,2022-04-28,"Fintech, Edtech, Ecommerce","Unknown, Series D","Bangalore, Gurgaon, Mumbai",0.98,1.03,2022-04-28
Tiger Global,63193.06,61,2025-02-24,"Fintech, Other, Edtech","Private Equity, Series C, Series A","Bangalore, Mumbai, Gurgaon",0.62,2.18,2025-02-24
Unknown,49270.95,202,2025-10-22,"Fintech, Ecommerce, Healthcare","Unknown, Seed, Pre-Series A","Mumbai, Bangalore, Delhi",1.0,1.0,2025-10-22
Sequoia Capital,48454.24,122,2022-03-11,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series A, Unknown","Bangalore, Mumbai, Gurgaon",0.51,2.53,2022-03-11
Softbank,48075.53,16,2024-09-26,"Consumer Internet, Ecommerce, Automotive","Private Equity, Unknown, Series B","Gurgaon, Bangalore, Delhi",0.57,2.5,2024-09-26
Tiger Global Maunknowngement,28986.92,29,2021-12-26,"Fintech, Edtech, Ecommerce","Private Equity, Unknown, Series D","Bangalore, Gurgaon, Delhi",0.54,2.26,2021-12-26
Accel,28472.46,125,2025-10-25,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series A, Seed","Bangalore, Gurgaon, Mumbai",0.5,2.62,2025-10-25
Dst Global,25489.3,11,2021-11-06,"Fintech, Edtech, Automotive","Series A, Private Equity, Unknown","Bangalore, Gurgaon, Mumbai",0.48,2.91,2021-11-06
Falcon Edge,18755.09,9,2021-11-27,"Fintech, Automotive, Consumer Internet","Unknown, Private Equity, Series F","Bangalore, Gurgaon, Mumbai",0.47,2.5,2021-11-27
Falcon Edge Capital,16961.05,10,2021-11-25,"Ecommerce, D2C, Clothing","Private Equity, Series A, Unknown","Bangalore, Jaipur, Nan",0.39,3.0,2021-11-25
General Atlantic,16210.73,8,2022-01-15,"Edtech, Ecommerce, Real Estate","Unknown, Series D, Series C","Bangalore, Mumbai",0.62,2.3,2022-01-15
Owl Ventures,15023.0,6,2025-02-14,"Edtech, Global Workforce Mobility, Fintech","Unknown, Other, Series C","Bangalore, Mumbai, Gurgaon",0.58,2.11,2025-02-14
