Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Ecozen,Technology,Pune,"60,00,000",Series A,Sathguru Catalyzer Advisors,2019,December
CarDekho,E-Commerce,Gurgaon,"7,00,00,000",Series D,Ping An Global Voyager Fund,2019,December
Dhruva Space,Aerospace,Bengaluru,"5,00,00,000",Seed,"Mumbai Angels, Ravikanth Reddy",2019,December
Rivigo,Technology,Gurgaon,"2,00,00,000",Series F,"SAIF Partners, Spring Canter Investment Ltd.",2019,December
Healthians,B2B-focused foodtech startup,Bengaluru,"1,20,00,000",Series C,"Paytm, NPTK, Sabre Partners and Neoplux",2019,December
Licious,E-Commerce,Bengaluru,"3,00,00,000",Series E,Vertex Growth Fund,2019,December
InCred,Finance,Mumbai,"59,00,000",Debt Funding,,2019,December
Trell,Video,Bengaluru,"20,00,000",Seed Round,Ruizheng Investment,2019,December
Rein Games,Gaming,Noida,"5,00,00,000",Seed Round,Manipal Education and Medical Group (MEMG),2019,December
Lenskart.com,E-Commerce,Faridabad,"23,10,00,000",Series G,SoftBank Vision Fund,2019,December
Freshworks,Software,San Francisco,"15,00,00,000",Series H,"Sequoia, CapitalG, Accel",2019,November
Misters,Health and wellness,Gurgaon,"4,86,000",Series B,"Sauce.vc, Rainforest Ventures",2019,November
Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"15,00,000",Seed,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",2019,November
Burger Singh,Food and Beverage,Gurgaon,undisclosed,Venture,RB Investments,2019,November
Healthians,Health and Wellness,Gurgaon,"1,20,00,000",Series B,"DG Daiwa Ventures, DG Incubation",2019,November
Ninjacart,B2B Marketing,Bengaluru,"2,60,00,000",Debt Funding,Trifecta Capital Advisors,2019,November
Aye Finance,FinTech,Gurgaon,"1,74,11,265",Debt Funding,FinTech,2019,November
SuperGaming,Video Games,Pune,"13,00,000",Seed Funding,Dream Incubator,2019,November
Clumio,SaaS,"San Jose,","13,50,00,000",Series C,"Altimeter Capital, Sutter Hill Ventures",2019,November
eBikeGo,Last Mile Transportation,Amritsar,"3,00,000",Seed,Startup Buddy,2019,November
Digital Mall Asia,E-Commerce,Delhi,"22,00,00,000",Seed Funding,Amour Infrastructure,2019,November
Medikabazaar,Healthcare,Mumbai,"1,58,00,000",Series B,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",2019,November
Vogo Automotive,Last Mile Transportation,Kormangala,"28,30,00,000",Series B,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",2019,November
Furtados School of Music,Education,Tulangan,"20,00,00,000",,IAN Fund and DSG Consumer Partners,2019,November
Paytm,FinTech,Noida,"1,00,00,00,000",Funding Round,Vijay Shekhar Sharma,2019,November
Dunzo,Customer Service,Bengaluru,"4,50,00,000",Series D,Lightbox,2019,October
Udaan,B2B,Bengaluru,"58,50,00,000",Series D,"Altimeter Capital, DST Global",2019,October
The Man Company,Consumer Goods,Gurgaon,unknown,Corporate Round,Ayushmann Khurana,2019,October
FPL Technologies,FinTech,Pune,"45,00,000",Maiden Round,"Matrix Partners India, Sequoia India",2019,September
Cashflo,FinTech,Mumbai,"33,00,000",Series A,SAIF Partners,2019,September
Digital F5,"Advertising, Marketing",Mumbai,"60,00,000",Private Equity Round,TIW Private Equity,2019,September
3rdFlix,SaaS,Hyderabad,"50,00,000",pre-series A,Exfinity Venture Partners,2019,September
75F,IoT,Burnsville,"1,80,00,000",Series A,Breakthrough Energy Ventures,2019,September
Myelin Foundry,Information Technology,Bengaluru,"10,00,000",Seed,Endiya Partners,2019,September
Atomberg Technology,Consumer Technology,Mumbai,"1,00,00,000",Series A,A91 Partners,2019,September
GOQii,Health and Wellness,Menlo Park,"45,00,00,000",Series C,Bennett Coleman and Company Ltd (BCCL),2019,September
Vyapar App,Accounting,Bengaluru,"50,00,000",Series A,"India Quotient, Axilor Ventures",2019,September
CarDekho,E-Commerce,Gurgaon,"2,00,00,000",Series C,SC GG India Mobility Holdings LLC,2019,August
Progcap,Finance,New Delhi,"50,00,000",Series A,Sequoia India,2019,August
MyPetrolPump,Retail,Bengaluru,"16,00,000",Seed Funding Round,,2019,August
Alteria Capital,Finance,Mumbai,"14,00,00,000",Single Venture,"Azim Premji, Binny Bansal",2019,August
Pine Labs,Information Technology,Noida,"3,80,80,000",Corporate Round,Pine Labs Pte Ltd,2019,August
Meesho,E-Commerce,Bengaluru,"12,50,00,000",Series D,Naspers,2019,August
Cars24,E-Commerce,Gurugram,"1,10,00,000",Series D,MS Dhoni,2019,August
Uniphore,Customer Service Platform,Palo Alto,"5,10,00,000",Series C,March Capital Partners,2019,August
Zendrive,Automotive,San Francisco,"3,70,00,000",Series B,XL Innovate,2019,August
Lo! Foods,Consumer Goods,Bengaluru,"5,00,000",Seed Round,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",2019,August
Tala,FinTech,Santa Monica,"11,00,00,000",Series D,RPS Ventures,2019,August
INDwealth,FinTech,Gurgaon,"1,50,00,000",Venture Round,Tiger Global Management,2019,August
HungerBox,Food and Beverage,Bengaluru,"65,90,000",Series C,One97 Communications Ltd.,2019,August
AdmitKard,EdTech,Noida,"10,00,000",Seed Round,Growth DNA,2019,August
