Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Aqgromalin,AgriTech,Chennai,"$200,000",,Angel investors,2020,December
Krayonnz,EdTech,Bangalore,"$100,000",Pre-seed,GSF Accelerator,2020,December
PadCare Labs,Hygiene management,Pune,,Pre-seed,Venture Center,2020,December
NCOME,Escrow,New Delhi,"$400,000",,"Venture Catalysts, PointOne Capital",2020,December
Gramophone,AgriTech,Indore,"$340,000",,"Siana Capital Management, Info Edge",2020,December
qZense,AgriTech,Bangalore,"$600,000",Seed,"Venture Catalysts, 9Unicorns Accelerator Fund",2020,December
MyClassboard,EdTech,Hyderabad,"$600,000",Pre-series A,ICICI Bank.,2020,December
Metvy,Networking platform,Gurgaon,,Pre-series,HostelFund,2020,December
Rupeek,FinTech,Bangalore,"$45,000,000",Series C,"KB Investment, Bertelsmann India Investments",2020,December
Gig India,Crowdsourcing,Pune,"$1,000,000",Pre-series A,"Shantanu Deshpande, Subramaniam Ramadorai",2020,December
Slurrp Farm,Food & Bevarages,Gurgaon,"$2,000,000",Series A,Fireside Ventures,2020,December
Medfin,HealthTech,Bangalore,,Series A,"Axilor Ventures, S.D. Shibulal",2020,December
MasterG,Fashion startup,New Delhi,,,Acumen Fund's angel programme,2020,December
Brila 91,Food & Bevarages,New Delhi,"$1,200,000",,"Sequoia Capital India, Sixth Sense Ventures",2020,December
FoodyBuddy,Food Industry,Belgaum,"$600,000",,Rebel Foods,2020,December
Zomato,Food Delivery,Gurgaon,"$660,000,000",,"Kora, Tiger Global Management",2020,December
OurEye.ai,Virtual auditing startup,Bangalore,"$120,000",,"100X VC, Amara Ventures",2020,December
Shiprocket,E-commerce,New Delhi,"$7,500,000",Series C,"Bertelsmann India Investments, InnoVen Capital",2020,December
Pine Labs,FinTech,Noida,,,"Mastercard, Temasek Holdings",2020,December
Moneyboxx Finance,FinTech,New Delhi,"$1,000,000",,"BlackSoil, Caspian",2020,December
EWar,Gaming,Bangalore,,Pre-series A,"Jindal Steels, Jeet Banerjee",2020,December
SucSEED Indovation,FinTech,Hyderabad,"$5,000,000",,,2020,December
TaxBuddy.com,FinTech,Mumbai,"$1,000,000",,Zenith Global,2020,December
Awign Enterprises,Work fulfillment,Bangalore,"$500,000",,"Unitus Ventures, Work10M",2020,December
Circle of Angels,FinTech,Gurgaon,"$3,000,000",,,2020,December
CoinDCX,FinTech,Mumbai,"$10,000,000",Series B,"Coinbase Ventures, Polychain",2020,December
Glance,AI startup,Bangalore,"$145,000,000",,Mithril Capital Management.,2020,December
VerSe Innovation,Telecommunication,Bangalore,"$100,000,000",,Google,2020,December
Voosh,Food Industry,Bangalore,,Pre-seed,Better Capital,2020,December
Delhivery,E-commerce,Gurgaon,,,"Steadview Capital, Canada Pension Plan Investment Board",2020,December
Arya,AgriTech,Noida,"$21,000,000",Series B,Quona Capital,2020,December
Pickrr,Logistics,New Delhi,"$4,000,000",,Swastika,2020,December
PhonePe,FinTech,Andheri,"$20,000,000",,"Flipkart, Walmart",2020,December
Countingwell,EdTech,Bangalore,"$1,000,000",Pre-series A,"Delhi Private School, UAE, Interstar",2020,December
Callify.ai,Tech Startup,Mumbai,"$560,000",Seed,Malpani Ventures,2020,December
Hudle,Sports,New Delhi,,Pre-series A,Survam Partners,2020,December
Cover it Up,E-commerce,Chennai,"$400,000",Seed,Angel investors,2020,December
BiteSpeed,E-commerce,Gurgaon,"$275,000",Seed,Whiteboard Capital,2020,December
WakeFit,Retail,Bangalore,"$20,000,000",Series B,Sequoia Capital.,2020,December
Sreyas Holistic Remedies,Medtech,Hyderabad,"$1,000,000",,Blacksoil,2020,December
Fleeca India,Tyre management,Jaipur,,,Bridgestone India,2020,December
M1xchange,FinTech,Gurgaon,"$4,500,000",,"BEENEXT, Mayfield Fund",2020,December
Exotel,Cloud company,Bangalore,"$5,000,000",,"A91 Partners, Artha India Ventures",2020,December
PagarBook,Software company,Bangalore,"$15,000,000",Series A,"Sequoia Capital, India Quotient",2020,December
PointOne Capital,Venture capitalist,Bangalore,,,,2020,December
Ayana,Renewable player,Bangalore,"$390,000,000",,"NIIF Ltd, CDC Group",2020,December
Fisdom,FinTech,Bangalore,"$7,000,000",,"PayU Finance India, Quona Capital",2020,December
Tinker Coders,EdTech,Noida,,Seed,STEMROBO Technologies,2020,December
Infinite Uptime,IoT startup,Pune,"$5,100,000",Series B,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",2020,December
HappyLocate,SaaS startup,Bangalore,"$500,000",Pre-series A,The CoWrks Foundry,2020,December
PhonePe,FinTech,New Delhi,"$700,000,000",,Flipkart,2020,December
Loop Health,HealthTech,Pune,"$2,300,000",Seed,"Y Combinator, Sierra Ventures",2020,December
NeoDocs,HealthTech,Mumbai,,Pre-seed,9Unicorns Accelerator Fund,2020,December
The ePlane,Aero company,Chennai,,Seed,Speciale Invest,2020,December
TagMango,Marketing company,Mumbai,"$700,000",Seed,"XRM Media, Kevin Lin",2020,December
The New Shop,Retail startup,New Delhi,"$500,000",Seed,Huddle Accelerator,2020,December
