Investors_List,Total_Invested,Num_Investments,Last_Date,Top_Sectors,Top_Stages,Top_Cities,Last_Year,Last_Month,Last_Investment
Multiples,102401.15,32,2022-04-01,"Fintech, Edtech, Ecommerce","Unknown, Series D","Bangalore, Gurgaon, Mumbai",2022,4,2022-04-01
Tiger Global,63193.06,61,2025-02-01,"Fintech, Other, Edtech","Private Equity, Series C, Series A","Bangalore, Gurgaon, Mumbai",2025,2,2025-02-01
Unknown,49270.95,202,2025-10-01,"Fintech, Ecommerce, Healthcare","Unknown, Seed, Pre-Series A","Mumbai, Bangalore, Delhi",2025,10,2025-10-01
Sequoia Capital,48454.24,122,2022-03-01,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series A, Unknown","Bangalore, Mumbai, Gurgaon",2022,3,2022-03-01
SoftBank,48075.53,16,2024-09-01,"Consumer Internet, Ecommerce, Budget Hotel Accommodation","Private Equity, Unknown, Series G","Gurgaon, Bangalore, Delhi",2024,9,2024-09-01
Tiger Global Maunknowngement,28986.920000000002,29,2021-12-01,"Fintech, Ecommerce, Edtech","Private Equity, Unknown, Series D","Bangalore, Gurgaon, Delhi",2021,12,2021-12-01
Accel,28472.46,125,2025-10-01,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series A, Seed","Bangalore, Gurgaon, Mumbai",2025,10,2025-10-01
Dst Global,25489.3,11,2021-11-01,"Fintech, B2B, Consumer Internet","Private Equity, Series A, Unknown","Bangalore, Mumbai, Gurgaon",2021,11,2021-11-01
Falcon Edge,18755.09,9,2021-11-01,"Fintech, Automotive, Consumer Internet","Unknown, Private Equity, Series A","Bangalore, Gurgaon, Unknown",2021,11,2021-11-01
Falcon Edge Capital,16961.05,10,2021-11-01,"Ecommerce, Consumer Internet, Car Aggregator & Retail Mobile","Private Equity, Series A, Unknown","Bangalore, Unknown, Jaipur",2021,11,2021-11-01
General Atlantic,16210.73,8,2022-01-01,"Edtech, Ecommerce, Real Estate","Unknown, Series C, Series E","Bangalore, Mumbai",2022,1,2022-01-01
Owl Ventures,15023.0,6,2025-02-01,"Edtech, Fintech, Global Workforce Mobility","Unknown, Series C, Other","Bangalore, Gurgaon, Mumbai",2025,2,2025-02-01
Nexus Venture Partners,14405.72,52,2025-09-01,"Consumer Internet, Healthcare, Edtech","Private Equity, Series A, Seed","Bangalore, Mumbai, Unknown",2025,9,2025-09-01
Others,14067.01,116,2025-01-01,"Consumer Internet, Technology, Healthcare","Seed, Private Equity, Other","Bangalore, Mumbai, Delhi",2025,1,2025-01-01
Westbridge Capital,13399.67,24,2025-10-01,"Edtech, Fintech, Transportation","Series B, Series C, Unknown","Bangalore, Mumbai, Unknown",2025,10,2025-10-01
Steadview Capital,12873.61,15,2025-08-01,"Ecommerce, Fintech, Edtech","Private Equity, Unknown, Series D","Bangalore, Mumbai, Delhi",2025,8,2025-08-01
Lightspeed,12762.65,39,2025-06-01,"Consumer Internet, Fintech, Technology","Private Equity, Seed, Series A","Bangalore, Mumbai, Gurgaon",2025,6,2025-06-01
Matrix Partners,10894.24,43,2025-02-01,"Fintech, Consumer Internet, Technology","Private Equity, Series A, Seed","Bangalore, Unknown, Mumbai",2025,2,2025-02-01
General Catalyst,10089.48,20,2025-10-01,"Fintech, Healthcare, Technology","Series A, Seed, Unknown","Bangalore, Gurgaon, Delhi",2025,10,2025-10-01
Baillie Gifford,9810.6,4,2024-12-01,"Food Devlivery, Car Aggregator & Retail Mobile, Media","Unknown, Private Equity, Other","Bangalore, Haryana",2024,12,2024-12-01
Alibaba,9213.0,5,2020-01-01,"Ecommerce, Consumer Internet, Logistics","Private Equity, Unknown","Bangalore, Unknown, Delhi",2020,1,2020-01-01
Bertelsmann India Investments,9048.98,11,2025-09-01,"Fintech, Ecommerce, Consumer Internet","Private Equity, Unknown, Series B","Delhi, Ahmedabad, Gurgaon",2025,9,2025-09-01
Temasek,8922.1431,11,2025-07-01,"Food, Restaurant Ratings & Reviews, Other","Private Equity, Unknown, Series H","Gurgaon, Mumbai, Bangalore",2025,7,2025-07-01
Vijay Shekhar Sharma,8717.5,13,2024-09-01,"Consumer Internet, Fintech, Food","Seed, Private Equity, Unspecified Round","Bangalore, Noida, Delhi",2024,9,2024-09-01
Glade Brook Capital Partners,8499.2,2,2024-12-01,"Innovation Management, Spacetech","Series H, Other",Bangalore,2024,12,2024-12-01
Flipkart,8450.65,10,2020-12-01,"Consumer Internet, Logistics, Fintech","Private Equity, Unknown, Seed","Bangalore, Delhi, Andheri",2020,12,2020-12-01
Saif Partners,8430.71,41,2021-06-01,"Consumer Internet, Ecommerce, Other","Private Equity, Seed, Unknown","Bangalore, Gurgaon, Mumbai",2021,6,2021-06-01
Caunknownan Valley Capital,8300.0,1,2021-02-01,Innovation Management,Series H,Bangalore,2021,2,2021-02-01
Norwest Venture Partners,8233.67,23,2025-06-01,"Technology, Fintech, Consumer Internet","Private Equity, Unknown, Series F","Bangalore, Chennai, Hyderabad",2025,6,2025-06-01
1Crowd And 1Fund,7977.13,1,2022-06-01,Logistics,Unknown,Mumbai,2022,6,2022-06-01
B Capital,7914.05,5,2025-05-01,"Automotive And Rentals, Transport, Consumer Internet","Series D, Private Equity, Unknown","Bangalore, Mumbai",2025,5,2025-05-01
Schroder Adveq And Temasek Holdings,7698.25,1,2022-06-01,Eyewear,Series I,Faridabad,2022,6,2022-06-01
Think Investments,7619.4,8,2025-06-01,"Healthcare, Information Technology &, Retail","Series A, Series B, Unknown","Mumbai, Gurgaon, Bangalore",2025,6,2025-06-01
Peak Xv Partners,7557.29,20,2025-10-01,"AI, Fintech, Ecommerce","Series A, Series C, Series B","Bangalore, Mumbai, Chennai",2025,10,2025-10-01
Kohlberg Kravis Roberts,7428.5,2,2021-05-01,"Ecommerce, Fashion",Unknown,"Mumbai, Faridabad",2021,5,2021-05-01
Altimeter Capital,7403.6,4,2019-11-01,"SaaS, B2B, Technology","Private Equity, Series C, Series D","Bangalore, San Jose, Mumbai",2019,11,2019-11-01
Hindustan Media Venture,7254.200000000001,2,2021-07-01,"Hospitality, Fintech","Unknown, Series F",Gurgaon,2021,7,2021-07-01
Bessemer Venture Partners,7228.0,23,2025-09-01,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series B, Unknown","Bangalore, Gurgaon, Mumbai",2025,9,2025-09-01
Tpg Growth,7180.74,5,2022-02-01,"Consumer Internet, Ecommerce, Other","Private Equity, Series F, Series E","Mumbai, Delhi, Unknown",2022,2,2022-02-01
Blume Ventures,7111.34,75,2025-09-01,"Consumer Internet, Technology, Ecommerce","Private Equity, Seed, Series A","Bangalore, Mumbai, Delhi",2025,9,2025-09-01
Kalaari Capital,7021.31,63,2025-10-01,"Technology, Consumer Internet, Ecommerce","Private Equity, Seed, Series A","Bangalore, Mumbai, Delhi",2025,10,2025-10-01
Fidelity,6976.98,3,2021-09-01,"Social Commerce, Information Technology, Logistics","Unknown, Series H","Bangalore, Noida, Gurgaon",2021,9,2021-09-01
Redbird Capital,6972.0,1,2021-11-01,Sports,Unknown,Mumbai,2021,11,2021-11-01
D1 Capital,6972.0,1,2021-11-01,Sports,Unknown,Mumbai,2021,11,2021-11-01
Ant Fiunknownncial,6913.9,3,2020-01-01,"Ecommerce, Adtech, Food","Unknown, Private Equity","Delhi, Bangalore, Unknown",2020,1,2020-01-01
