Headquarters,Sector,Avg_6m_Funding,Avg_6m_Rounds,Avg_6m_Median_Size,Avg_12m_Funding,Avg_12m_Rounds,Avg_12m_Median_Size,Total_Funding,Total_Rounds,Avg_6m_Funding_Missing,Avg_6m_Rounds_Missing,Avg_6m_Median_Size_Missing,Avg_12m_Funding_Missing,Avg_12m_Rounds_Missing,Avg_12m_Median_Size_Missing
Abu Dhabi,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,101.26,1.0,1,1,1,1,1,1
Ahemadabad,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,1,1,1,1,1,1
Ahemadabad,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,51.71,1.0,1,1,1,1,1,1
Ahmedabad,Artificial Intelligence,166.0,1.0,166.0,166.0,1.0,166.0,174.3,2.0,0,0,0,0,0,0
Ahmedabad,Consumer Goods / D2C,12.45,1.0,12.45,12.45,1.0,12.45,20.75,2.0,0,0,0,0,0,0
Ahmedabad,Consumer Internet,256.25,4.78,16.36,259.05,5.44,9.34,775.99,11.0,0,0,0,0,0,0
Ahmedabad,Ecommerce / Retail,56.92,3.8,10.29,56.92,3.8,10.29,598.41,8.0,0,0,0,0,0,0
Ahmedabad,Edtech,0.0,0.0,0.0,0.0,0.0,0.0,3.32,1.0,1,1,1,1,1,1
Ahmedabad,Enterprise / Saas,405.87,5.4,10.55,474.04,8.0,8.45,1476.84,19.0,0,0,0,0,0,0
Ahmedabad,Fintech,233.96,3.0,79.73,233.96,3.0,79.73,448.52,6.0,0,0,0,0,0,0
Ahmedabad,Foodtech,2.49,1.0,2.49,2.49,1.0,2.49,19.09,2.0,0,0,0,0,0,0
Ahmedabad,Healthtech,134.05,1.5,100.22,134.05,1.5,100.22,384.29,3.0,0,0,0,0,0,0
Ahmedabad,Hrtech,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.0,1,1,1,1,1,1
Ahmedabad,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,2.03,1.0,1,1,1,1,1,1
Ahmedabad,Marketing / Adtech,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Ahmedabad,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Ahmedabad,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Ahmedabad,Others,77.62,3.86,3.98,78.81,4.0,4.0,268.48,8.0,0,0,0,0,0,0
Ahmedabad,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.0,1,1,1,1,1,1
Ahmedabad,Spacetech,14.94,1.0,14.94,14.94,1.0,14.94,42.33,2.0,0,0,0,0,0,0
Ahmednagar,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,67.23,1.0,1,1,1,1,1,1
Akola,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,91.3,1.0,1,1,1,1,1,1
Alappuzha,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,68.89,1.0,1,1,1,1,1,1
Ambernath,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.0,1,1,1,1,1,1
Amritsar,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.0,1,1,1,1,1,1
Andheri,Enterprise / Saas,47.73,1.0,47.73,47.73,1.0,47.73,56.03,2.0,0,0,0,0,0,0
Andheri,Fintech,16.6,1.0,16.6,16.6,1.0,16.6,182.6,2.0,0,0,0,0,0,0
Auckland,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,117.86,1.0,1,1,1,1,1,1
Austin,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,132.8,1.0,1,1,1,1,1,1
Bahadurgarh,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,207.5,1.0,1,1,1,1,1,1
Bangaldesh,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,182.6,1.0,1,1,1,1,1,1
Bangalore,Agritech,257.78,6.25,21.95,366.06,9.81,19.92,1066.04,21.0,0,0,0,0,0,0
Bangalore,Analytics / Big Data,87.15,4.62,17.38,96.49,5.0,18.42,165.17,10.0,0,0,0,0,0,0
Bangalore,Artificial Intelligence,1698.85,10.48,57.73,3084.33,17.85,49.5,9883.44,71.0,0,0,0,0,0,0
Bangalore,Climate / Cleantech / Energy,2580.15,4.12,263.1,3015.9,4.5,266.06,3635.88,10.0,0,0,0,0,0,0
Bangalore,Consumer Goods / D2C,304.26,5.07,40.12,392.89,7.67,22.34,1378.08,19.0,0,0,0,0,0,0
Bangalore,Consumer Internet,3381.52,25.94,26.79,6683.86,50.75,25.83,30098.9,235.0,0,0,0,0,0,0
Bangalore,Cybersecurity,145.25,1.5,83.0,145.25,1.5,83.0,424.0,3.0,0,0,0,0,0,0
Bangalore,Deeptech / Hardware,454.0,5.57,42.31,457.55,5.71,38.34,888.44,12.0,0,0,0,0,0,0
Bangalore,Ecommerce / Retail,4792.79,13.3,131.12,9065.69,25.11,106.8,58824.76,174.0,0,0,0,0,0,0
Bangalore,Edtech,100.37,4.62,8.46,101.11,5.0,7.7,244.83,10.0,0,0,0,0,0,0
Bangalore,Enterprise / Saas,6586.35,29.73,38.68,12758.3,56.97,29.19,101744.69,469.0,0,0,0,0,0,0
Bangalore,Fintech,6698.51,19.41,111.58,12900.09,36.97,88.85,69703.49,208.0,0,0,0,0,0,0
Bangalore,Foodtech,4263.77,9.49,114.8,8223.76,17.31,96.1,28150.05,66.0,0,0,0,0,0,0
Bangalore,Healthtech,3443.26,12.42,114.31,6589.34,23.41,83.35,34338.03,129.0,0,0,0,0,0,0
Bangalore,Hrtech,115.51,3.0,34.53,115.51,3.0,34.53,178.98,6.0,0,0,0,0,0,0
Bangalore,Logistics / Supply Chain,1768.32,7.32,95.71,3265.38,13.47,82.71,12113.03,47.0,0,0,0,0,0,0
Bangalore,Marketing / Adtech,997.24,2.5,417.08,997.24,2.5,417.08,1115.52,6.0,0,0,0,0,0,0
Bangalore,Media / Entertainment / Gaming,71.31,4.67,8.3,76.47,5.33,7.89,176.88,12.0,0,0,0,0,0,0
Bangalore,Mobility / Automotive / Ev,2884.37,9.83,96.86,5341.62,18.46,60.03,17748.5,64.0,0,0,0,0,0,0
Bangalore,Others,3995.85,15.19,53.12,7833.24,28.74,49.89,39002.38,154.0,0,0,0,0,0,0
Bangalore,Real Estate / Proptech,1423.46,7.0,38.05,1824.36,10.47,22.49,6956.25,22.0,0,0,0,0,0,0
Bangalore,Spacetech,415.0,1.0,415.0,415.0,1.0,415.0,998.0,3.0,0,0,0,0,0,0
Bangalore,Travel / Hospitality,119.73,2.5,29.26,119.73,2.5,29.26,173.06,5.0,0,0,0,0,0,0
Bangalore,Venture Capital,83.0,1.0,83.0,83.0,1.0,83.0,103.75,2.0,0,0,0,0,0,0
Bangkok,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,74.7,1.0,1,1,1,1,1,1
Beijing,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,1.0,1,1,1,1,1,1
Belgaum,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,4.98,1.0,1,1,1,1,1,1
Belgaum,Others,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Belthangady Taluk,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Bengaluri,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,147.74,1.0,1,1,1,1,1,1
Bengaluru And Gurugram,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Bengaluru Regstd Indian Office,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,1,1,1,1,1,1
Berlin,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,1.0,1,1,1,1,1,1
Bhilwara,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,66.4,1.0,1,1,1,1,1,1
Bhopal,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,14.94,1.0,1,1,1,1,1,1
Bhopal,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,3.57,1.0,1,1,1,1,1,1
Bhopal,Enterprise / Saas,0.83,1.0,0.83,0.83,1.0,0.83,4.98,2.0,0,0,0,0,0,0
Bhubaneswar,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1,1,1,1,1,1
Bhubaneswar,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,1,1,1,1,1
Bhubaneswar,Fintech,927.52,1.5,526.01,927.52,1.5,526.01,2514.9,3.0,0,0,0,0,0,0
Bhubaneswar,Healthtech,41.5,1.0,41.5,41.5,1.0,41.5,215.8,2.0,0,0,0,0,0,0
Bhubneswar,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,190.9,1.0,1,1,1,1,1,1
Bihar,Agritech,2.73,1.0,2.73,2.73,1.0,2.73,1983.11,2.0,0,0,0,0,0,0
Boston,Others,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Burnsville,Others,0.0,0.0,0.0,0.0,0.0,0.0,149.4,1.0,1,1,1,1,1,1
Chandigarh,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,174.3,1.0,1,1,1,1,1,1
Chandigarh,Artificial Intelligence,1.96,1.5,1.26,1.96,1.5,1.26,23.54,3.0,0,0,0,0,0,0
Chandigarh,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Chandigarh,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Chandigarh,Enterprise / Saas,0.83,1.0,0.83,0.83,1.0,0.83,7.47,2.0,0,0,0,0,0,0
Chandigarh,Healthtech,175.96,1.5,131.56,175.96,1.5,131.56,179.62,3.0,0,0,0,0,0,0
Chandigarh,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Chandigarh,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Chandigarh,Mobility / Automotive / Ev,83.0,1.5,51.88,83.0,1.5,51.88,356.9,3.0,0,0,0,0,0,0
Chandigarh,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Chembur,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.65,1.0,1,1,1,1,1,1
Chennai,Agritech,497.49,5.5,87.76,582.69,6.12,90.62,925.96,11.0,0,0,0,0,0,0
Chennai,Analytics / Big Data,4.15,1.0,4.15,4.15,1.0,4.15,12.45,2.0,0,0,0,0,0,0
Chennai,Artificial Intelligence,25.11,2.5,7.26,25.11,2.5,7.26,189.24,6.0,0,0,0,0,0,0
Chennai,Climate / Cleantech / Energy,16.6,1.0,16.6,16.6,1.0,16.6,29.05,3.0,0,0,0,0,0,0
Chennai,Consumer Goods / D2C,1.25,1.0,1.25,1.25,1.0,1.25,9.55,2.0,0,0,0,0,0,0
Chennai,Consumer Internet,580.58,6.5,41.75,1001.54,10.61,34.58,2046.55,23.0,0,0,0,0,0,0
Chennai,Cybersecurity,8.3,1.0,8.3,8.3,1.0,8.3,11.3,2.0,0,0,0,0,0,0
Chennai,Deeptech / Hardware,41.91,1.5,23.13,41.91,1.5,23.13,76.58,3.0,0,0,0,0,0,0
Chennai,Ecommerce / Retail,214.27,5.18,26.03,234.56,6.55,10.87,508.89,13.0,0,0,0,0,0,0
Chennai,Edtech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Chennai,Enterprise / Saas,921.66,9.18,27.21,1560.58,16.97,23.52,6213.96,68.0,0,0,0,0,0,0
Chennai,Fintech,2256.73,8.38,125.99,3783.02,14.66,98.49,11145.86,45.0,0,0,0,0,0,0
Chennai,Foodtech,778.96,5.1,9.4,803.85,6.4,9.09,3626.72,12.0,0,0,0,0,0,0
Chennai,Healthtech,1293.79,4.71,116.56,1364.93,5.0,117.06,1858.38,9.0,0,0,0,0,0,0
Chennai,Legaltech,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Chennai,Logistics / Supply Chain,178.45,1.5,96.49,178.45,1.5,96.49,338.64,3.0,0,0,0,0,0,0
Chennai,Mobility / Automotive / Ev,571.67,4.6,146.91,571.67,4.6,146.91,700.37,8.0,0,0,0,0,0,0
Chennai,Others,203.43,5.77,22.09,273.85,8.77,22.75,723.26,16.0,0,0,0,0,0,0
Chennai,Real Estate / Proptech,257.85,2.0,129.2,257.85,2.0,129.2,272.6,4.0,0,0,0,0,0,0
Chennai,Spacetech,41.5,1.0,41.5,41.5,1.0,41.5,141.5,2.0,0,0,0,0,0,0
Chennai,Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1,1,1,1,1,1
Chicago,Enterprise / Saas,81.34,1.0,81.34,81.34,1.0,81.34,2085.79,2.0,0,0,0,0,0,0
Chicago,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Cochin,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,3.32,2.0,1,1,1,1,1,1
Cochin,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Cochin,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Coimbatore,Agritech,249.0,1.0,249.0,249.0,1.0,249.0,250.04,2.0,0,0,0,0,0,0
Coimbatore,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Coimbatore,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,3.73,1.0,1,1,1,1,1,1
Coimbatore,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.55,1.0,1,1,1,1,1,1
Coimbatore,Foodtech,16.6,1.0,16.6,16.6,1.0,16.6,20.75,2.0,0,0,0,0,0,0
Coimbatore,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,52.29,1.0,1,1,1,1,1,1
Coimbatore,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,9.96,1.0,1,1,1,1,1,1
Coimbatore,Others,6.64,1.5,3.84,6.64,1.5,3.84,119.94,3.0,0,0,0,0,0,0
Coimbatore,Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,9.13,1.0,1,1,1,1,1,1
Cumberland Furnace,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,124.5,1.0,1,1,1,1,1,1
Cuttack,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,14.94,1.0,1,1,1,1,1,1
Dallas,Others,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Dehradun,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,14.11,1.0,1,1,1,1,1,1
Dehradun,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1,1,1,1,1,1
Dehradun,Others,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Delaware,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,97.11,1.0,1,1,1,1,1,1
Delaware,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Delhi And Mumbai,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Delhi Cambridge,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,14.11,1.0,1,1,1,1,1,1
Delhi,Agritech,299.71,3.0,24.18,299.71,3.0,24.18,646.39,6.0,0,0,0,0,0,0
Delhi,Artificial Intelligence,81.22,4.71,11.44,84.07,5.0,11.15,170.15,9.0,0,0,0,0,0,0
Delhi,Climate / Cleantech / Energy,454.84,4.43,45.35,454.96,4.57,42.69,741.6,9.0,0,0,0,0,0,0
Delhi,Consumer Goods / D2C,75.11,4.2,21.48,75.11,4.2,21.48,137.8,8.0,0,0,0,0,0,0
