Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
19th mile,It,Gurgaon,1.49,Other,"Excelsior Investments, Prashant Gupta And Others, Praveer Kumar, Rishi Vasudev, Ritesh Vohra",2018,July,Enterprise / Saas,Gurgaon,Haryana,India,7,24,2018-07-24,2,2018,0.0,Gurgaon | Enterprise / Saas,1218.69,7.0,33.2,1916.99,15.0,9.13,0,0,0,0,0,0
1bridge,Consumer Goods,Bangalore,20.75,Unknown,C4D Partners,2021,August,Consumer Internet,Bangalore,Karnataka,India,8,6,2021-08-06,2,2021,1.49,Bangalore | Consumer Internet,3746.88,24.0,36.21,8008.88,41.0,36.21,0,0,0,0,0,0
1india family mart,Value Retail,Delhi,99.6,Series D,Gulf Islamic Investments,2025,May,Ecommerce / Retail,Delhi,Delhi,India,5,20,2025-05-20,1,2025,20.75,Delhi | Ecommerce / Retail,127.73,10.0,11.08,1335.17,19.0,10.26,0,0,0,0,0,0
1k kirana bazaar,Retail,Gurgaon,58.1,Unknown,"Falconedge, Info Edge",2021,August,Ecommerce / Retail,Gurgaon,Haryana,India,8,19,2021-08-19,2,2021,99.6,Gurgaon | Ecommerce / Retail,1028.16,10.0,64.74,2686.71,19.0,61.8,0,0,0,0,0,0
1mg,Ecommerce,Gurgaon,124.5,Private Equity,"Maverick Capital Ventures, Omidyar Network, Sequoia Capital",2016,April,Ecommerce / Retail,Gurgaon,Haryana,India,4,16,2016-04-16,1,2016,58.1,Gurgaon | Ecommerce / Retail,1736.64,9.0,36.11,1736.64,9.0,36.11,0,0,0,0,0,0
1mg,Ecommerce,Gurgaon,124.5,Private Equity,"Hbm Healthcare Investments, Maverick Capital Ventures, Omidyar Network And Kae Capital, Sequoia India",2017,July,Ecommerce / Retail,Gurgaon,Haryana,India,7,23,2017-07-23,2,2017,124.5,Gurgaon | Ecommerce / Retail,360.71,9.0,29.97,1622.31,18.0,36.11,0,0,0,0,0,0
1mg,Consumer Internet,Gurgaon,83.0,Private Equity,"Maverick Capital Ltd And Hbm Healthcare Investments Ltd, Sequoia Capital",2018,April,Consumer Internet,Gurgaon,Haryana,India,4,23,2018-04-23,1,2018,249.0,Gurgaon | Consumer Internet,3852.85,11.0,217.88,6791.06,35.0,44.1,0,0,0,0,0,0
1mg,Healthcare,Gurgaon,82.17,Unknown,"Bill, Melinda Gates Foundation",2020,February,Healthtech,Gurgaon,Haryana,India,2,5,2020-02-05,4,2019,332.0,Gurgaon | Healthtech,6906.56,11.0,42.51,6970.06,18.0,7.26,0,0,0,0,0,0
1mg healthkartplus,Online Pharmacy & Drug Db,Gurgaon,49.8,Private Equity,"Deep Kalra, Intel Capital, Kae Capital, Omidyar Network, Sequoia Capital",2015,April,Healthtech,Gurgaon,Haryana,India,4,13,2015-04-13,1,2015,414.17,Gurgaon | Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
20dresses,Other,Unknown,8.3,Other,"Bs Nagesh, Srinivas Aluri, Srinivas Modukury",2015,February,Others,Nan,Nan,Nan,2,7,2015-02-07,4,2014,49.8,Unknown | Others,3063.7,37.0,6.85,3063.7,37.0,6.85,0,0,0,0,0,0
