Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
ecozen,Technology,Pune,49.8,Series A,Sathguru Catalyzer Advisors,2019,December,Enterprise / SaaS,Pune,Maharashtra,India
car dekho,Ecommerce,Gurgaon,581.0,Series D,Ping An Global Voyager Fund,2019,December,Ecommerce / Retail,Gurgaon,Haryana,India
dhruva space,Aerospace,Bangalore,415.0,Seed,"Mumbai Angels, Ravikanth Reddy",2019,December,SpaceTech,Bangalore,Karnataka,India
rivigo,Technology,Gurgaon,166.0,Series F,"Saif Partners, Spring Canter Investment Ltd.",2019,December,Enterprise / SaaS,Gurgaon,Haryana,India
healthians,B2Bfocused Foodtech,Bangalore,99.6,Series C,"Paytm, Nptk, Sabre Partners And Neoplux",2019,December,FoodTech,Bangalore,Karnataka,India
licious,Ecommerce,Bangalore,249.0,Series E,Vertex Growth Fund,2019,December,Ecommerce / Retail,Bangalore,Karnataka,India
incred,Fintech,Mumbai,48.97,Debt,Unknown,2019,December,FinTech,Mumbai,Maharashtra,India
trell,Video,Bangalore,16.6,Seed,Ruizheng Investment,2019,December,Media / Entertainment / Gaming,Bangalore,Karnataka,India
rein games,Gaming,Noida,415.0,Seed,Manipal Education And Medical Group (Memg),2019,December,Others,Noida,Uttar Pradesh,India
lenskartcom,Ecommerce,Faridabad,1917.3,Series G,SoftBank,2019,December,Ecommerce / Retail,Delhi,Haryana,India
freshworks,Software,San Francisco,1245.0,Series H,"Sequoia Capital, Capitalg, Accel",2019,November,Enterprise / SaaS,San Francisco,California,USA
misters,Healthcare,Gurgaon,4.03,Series B,"Sauce.Vc, Rainforest Ventures",2019,November,HealthTech,Gurgaon,Haryana,India
sunstone eduversity,Edtech,Gurgaon,12.45,Seed,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Counknownfounder Rajul Garg",2019,November,Enterprise / SaaS,Gurgaon,Haryana,India
healthians,Healthcare,Gurgaon,99.6,Series B,"Dg Daiwa Ventures, Dg Incubation",2019,November,HealthTech,Gurgaon,Haryana,India
ninjacart,B2B Marketing,Bangalore,215.8,Debt,Trifecta Capital Advisors,2019,November,Enterprise / SaaS,Bangalore,Karnataka,India
aye finance,Fintech,Gurgaon,144.51,Debt,Fintech,2019,November,FinTech,Gurgaon,Haryana,India
supergaming,Video Games,Pune,10.79,Seed,Dream Incubator,2019,November,Media / Entertainment / Gaming,Pune,Maharashtra,India
